Replicate,Treatment,Sam_Line,Total_shoot_bio_mass_g,Mode
R1,A,SAM034,1.9,T
R1,A,SAM041,1.9,S
R1,A,SAM051,2.8,S
R1,A,SAM063,1.8,S
R1,A,SAM075,1.7,T
R1,A,SAM083,2,T
R1,A,SAM088,2.25,S
R1,A,SAM124,2.1,S
R1,A,SAM139,1.7,S
R1,A,SAM145,1.8,S
R1,A,SAM163,2.7,S
R1,A,SAM254,2.9,T
R1,A,SAM259,1.8,T
R1,A,SAM264,,T
R1,A,SAM269,1.7,T
R1,A,SAM281,2.4,T
R1,A,SAM287,0.8,T
R1,C,SAM034,1.2,T
R1,C,SAM041,3.7,S
R1,C,SAM051,2.2,S
R1,C,SAM063,2.6,S
R1,C,SAM075,1.9,T
R1,C,SAM083,4.2,T
R1,C,SAM088,3.4,S
R1,C,SAM139,1.4,S
R1,C,SAM145,1.3,S
R1,C,SAM163,3.4,S
R1,C,SAM172,1,S
R1,C,SAM254,2.1,T
R1,C,SAM259,2.4,T
R1,C,SAM264,2.3,T
R1,C,SAM269,2.4,T
R1,C,SAM281,,T
R1,C,SAM285,3,T
R1,C,SAM287,3.9,T
R2,A,SAM034,2.1,T
R2,A,SAM041,1.4,S
R2,A,SAM051,0.7,S
R2,A,SAM063,3.3,S
R2,A,SAM075,1.3,T
R2,A,SAM083,1.2,T
R2,A,SAM088,2.1,S
R2,A,SAM139,2.5,S
R2,A,SAM145,1.5,S
R2,A,SAM163,2.3,S
R2,A,SAM172,1.7,S
R2,A,SAM254,2,T
R2,A,SAM259,,T
R2,A,SAM264,1.2,T
R2,A,SAM269,1.9,T
R2,A,SAM281,2.1,T
R2,A,SAM285,1.8,T
R2,A,SAM287,2.4,T
R2,C,SAM041,2.7,S
R2,C,SAM051,2.8,S
R2,C,SAM063,2.8,S
R2,C,SAM075,,T
R2,C,SAM083,2.2,T
R2,C,SAM088,,S
R2,C,SAM139,1.4,S
R2,C,SAM145,2.9,S
R2,C,SAM163,5.1,S
R2,C,SAM172,1.2,S
R2,C,SAM254,0.7,T
R2,C,SAM259,3.3,T
R2,C,SAM264,3.2,T
R2,C,SAM269,2.9,T
R2,C,SAM281,6,T
R2,C,SAM285,1.8,T
R2,C,SAM287,2.3,T
R3,A,SAM034,1.4,T
R3,A,SAM041,2.3,S
R3,A,SAM063,2,S
R3,A,SAM075,,T
R3,A,SAM083,4.9,T
R3,A,SAM088,2,S
R3,A,SAM139,1.4,S
R3,A,SAM145,3.2,S
R3,A,SAM163,2.9,S
R3,A,SAM172,,S
R3,A,SAM254,1.9,T
R3,A,SAM259,1.9,T
R3,A,SAM264,,T
R3,A,SAM269,2.2,T
R3,A,SAM285,0.5,T
R3,A,SAM287,2.3,T
R3,C,SAM034,2.2,T
R3,C,SAM041,1.3,S
R3,C,SAM063,4.2,S
R3,C,SAM083,3.2,T
R3,C,SAM088,3.5,S
R3,C,SAM139,,S
R3,C,SAM145,1.9,S
R3,C,SAM163,4,S
R3,C,SAM172,,S
R3,C,SAM259,2.4,T
R3,C,SAM264,5.2,T
R3,C,SAM269,2.8,T
R3,C,SAM285,3.7,T
R4,A,SAM034,1.9,T
R4,A,SAM063,1.6,S
R4,A,SAM083,2.3,T
R4,A,SAM088,2,S
R4,A,SAM139,1.3,S
R4,A,SAM145,2,S
R4,A,SAM163,2.7,S
R4,A,SAM259,2.1,T
R4,A,SAM264,,T
R4,A,SAM269,0.6,T
R4,C,SAM034,0.7,T
R4,C,SAM041,3.3,S
R4,C,SAM063,7.1,S
R4,C,SAM088,4,S
R4,C,SAM139,1.2,S
R4,C,SAM163,3.5,S
R4,C,SAM259,2.4,T
R4,C,SAM264,3.9,T
R4,C,SAM269,2.9,T
R5,A,SAM034,1.2,T
R5,A,SAM041,1.6,S
R5,A,SAM063,1.8,S
R5,A,SAM088,,S
R5,A,SAM139,1.3,S
R5,A,SAM163,2.6,S
R5,A,SAM259,2.2,T
R5,A,SAM264,1,T
R5,A,SAM269,1.3,T
R5,C,SAM034,2.4,T
R5,C,SAM063,3.9,S
R5,C,SAM088,3.8,S
R5,C,SAM139,1.6,S
R5,C,SAM163,2.4,S
R5,C,SAM254,1.2,T
R5,C,SAM259,,T
R5,C,SAM264,2.8,T
R5,C,SAM269,1.6,T
R5,C,SAM285,,T
