Replication	Treatment	SAM	biomass
R1	A	SAM034	1.9
R1	A	SAM041	1. 9
R1	A	SAM051	2.8
R1	A	SAM063	1.8
R1	A	SAM075	1.7
R1	A	SAM083	2
R1	A	SAM088	2.25
R1	A	SAM124	2.1
R1	A	SAM139	1.7
R1	A	SAM145	1.8
R1	A	SAM163	2.7
R1	A	SAM254	
R1	A	SAM259	1.8
R1	A	SAM264	
R1	A	SAM269	1.7
R1	A	SAM281	2.4
R1	A	SAM287	0.8
R1	C	SAM034	1.2
R1	C	SAM041	3.7
R1	C	SAM051	2.2
R1	C	SAM063	2.6
R1	C	SAM075	1.9
R1	C	SAM083	4.2
R1	C	SAM088	3.4
R1	C	SAM139	1.4
R1	C	SAM145	1.3
R1	C	SAM163	3.4
R1	C	SAM172	1
R1	C	SAM254	2.1
R1	C	SAM259	2.4
R1	C	SAM264	2.3
R1	C	SAM269	2.4
R1	C	SAM281	
R1	C	SAM285	3
R1	C	SAM287	3.9
R2	A	SAM034	2.1
R2	A	SAM041	1.4
R2	A	SAM051	0.7
R2	A	SAM063	
R2	A	SAM075	1.3
R2	A	SAM083	1.2
R2	A	SAM088	2.1
R2	A	SAM139	2.5
R2	A	SAM145	1.5
R2	A	SAM163	2.3
R2	A	SAM172	1.7
R2	A	SAM254	2
R2	A	SAM259	
R2	A	SAM264	1.2
R2	A	SAM269	1.9
R2	A	SAM281	2.1
R2	A	SAM285	1.8
R2	A	SAM287	2.4
R2	C	SAM034	
R2	C	SAM041	2.7
R2	C	SAM051	2.8
R2	C	SAM063	2.8
R2	C	SAM075	
R2	C	SAM083	2.2
R2	C	SAM088	
R2	C	SAM139	1.4
R2	C	SAM145	2.9
R2	C	SAM163	5.1
R2	C	SAM172	1.2
R2	C	SAM254	0.7
R2	C	SAM259	3.3
R2	C	SAM264	3.2
R2	C	SAM269	2.9
R2	C	SAM281	
R2	C	SAM285	1.8
R2	C	SAM287	2.3
R3	A	SAM034	1.4
R3	A	SAM041	2.3
R3	A	SAM063	2
R3	A	SAM075	
R3	A	SAM083	4.9
R3	A	SAM088	2
R3	A	SAM139	1.4
R3	A	SAM145	3.2
R3	A	SAM163	2.9
R3	A	SAM172	
R3	A	SAM254	1.9
R3	A	SAM259	1.9
R3	A	SAM264	
R3	A	SAM269	2.2
R3	A	SAM285	0.5
R3	A	SAM287	2.3
R3	C	SAM034	2.2
R3	C	SAM041	1.3
R3	C	SAM063	4.2
R3	C	SAM083	3.2
R3	C	SAM088	3.5
R3	C	SAM139	
R3	C	SAM145	1.9
R3	C	SAM163	4
R3	C	SAM172	
R3	C	SAM259	2.4
R3	C	SAM264	5.2
R3	C	SAM269	2.8
R3	C	SAM285	3.7
R4	A	SAM034	1.9
R4	A	SAM063	1.6
R4	A	SAM083	2.3
R4	A	SAM088	2
R4	A	SAM139	1.3
R4	A	SAM145	2
R4	A	SAM163	2.7
R4	A	SAM259	2.1
R4	A	SAM264	
R4	A	SAM269	0.6
R4	C	SAM034	0.7
R4	C	SAM041	3.3
R4	C	SAM063	
R4	C	SAM088	4
R4	C	SAM139	1.2
R4	C	SAM163	3.5
R4	C	SAM259	2.4
R4	C	SAM264	3.9
R4	C	SAM269	2.9
R5	A	SAM034	1.2
R5	A	SAM041	1.6
R5	A	SAM063	1.8
R5	A	SAM088	
R5	A	SAM139	1.3
R5	A	SAM163	2.6
R5	A	SAM259	2.2
R5	A	SAM264	1
R5	A	SAM269	1.3
R5	C	SAM034	2.4
R5	C	SAM063	3.9
R5	C	SAM088	3.8
R5	C	SAM139	1.6
R5	C	SAM163	2.4
R5	C	SAM254	1.2
R5	C	SAM259	
R5	C	SAM264	2.8
R5	C	SAM269	1.6
R5	C	SAM285	
