Replicate	Treatment	SAM	Mode	V6_length	V6_width	V6_area	V6_stem_width	V6_stem_height	Days_to_first_wilt	Days_to_full_wilt
R1	B	SAM034	T	7.50	3.50	26.25	4.12	2.00	12	16
R1	B	SAM041	S	5.20	3.50	18.20	3.70	4.00	11	19
R1	B	SAM051	S	6.00	3.00	18.00	6.12	5.50	7	11
R1	B	SAM063	S	4.00	3.50	14.00	8.00	5.50	1	10
R1	B	SAM075	T	5.20	3.70	19.24	3.91	3.50	8	10
R1	B	SAM083	T	4.50	2.50	11.25	3.07	8.00	11	15
R1	B	SAM088	S	10.70	7.90	84.53	6.47	6.50	4	14
R1	B	SAM139	S	5.20	3.00	15.60	4.80	4.10	10	14
R1	B	SAM163	S	5.20	3.20	16.64	3.25	4.50	7	15
R1	B	SAM172	S	5.50	3.00	16.50	3.12	2.50	11	14
R1	B	SAM259	T	7.00	3.00	21.00	5.82	4.50	7	11
R1	B	SAM264	T	4.50	3.00	13.50	3.21	4.00	15	19
R1	B	SAM269	T	5.50	4.50	24.75	5.77	5.50	7	11
R1	B	SAM285	T	4.50	2.50	11.25	3.72	4.00	7	9
R2	B	SAM034	T	4.50	2.50	11.25	4.32	2.50	11	15
R2	B	SAM041	S	5.00	3.00	15.00	3.39	2.50	14	19
R2	B	SAM063	S	7.50	4.00	30.00	5.89	6.50	7	11
R2	B	SAM075	T	4.20	3.00	12.60	4.25	6.00	8	10
R2	B	SAM083	T	4.10	2.50	10.25	3.41	5.50	17	19
R2	B	SAM088	S	5.00	3.00	15.00	5.60	5.00	8	10
R2	B	SAM139	S	5.90	4.00	23.60	4.20	4.00	12	14
R2	B	SAM145	S	7.00	4.50	31.50	5.44	3.00	9	11
R2	B	SAM163	S	5.00	2.50	12.50	3.80	5.00	10	14
R2	B	SAM254	T	4.00	2.00	8.00	3.89	4.00	10	14
R2	B	SAM259	T	4.20	3.20	13.44	3.02	4.40	11	15
R2	B	SAM269	T	5.10	2.40	12.24	4.39	3.80	18	23
R2	B	SAM281	T	4.00	2.50	10.00	4.72	3.00	20	24
R2	B	SAM287	T	4.60	3.10	14.26	5.20	7.30	8	20
R3	B	SAM034	T	7.50	3.90	29.25	3.92	5.50	10	14
R3	B	SAM041	S	4.10	2.30	9.43	4.57	4.30	12	25
R3	B	SAM051	S	4.50	2.50	11.25	4.63	6.50	11	15
R3	B	SAM063	S	4.50	2.30	10.35	5.05	5.50	10	14
R3	B	SAM088	S	4.00	2.00	8.00	4.32	6.00	7	9
R3	B	SAM139	S	5.50	2.00	11.00	3.92	2.40	11	15
R3	B	SAM145	S	5.00	3.00	15.00	3.07	2.50	14	16
R3	B	SAM163	S	9.50	5.50	52.25	5.49	5.50	13	15
R3	B	SAM172	S	4.20	3.00	12.60	4.25	2.00	9	11
R3	B	SAM254	T	6.10	4.10	25.01	4.68	5.20	8	11
R3	B	SAM259	T	4.70	3.70	17.39	4.73	4.50	9	11
R3	B	SAM269	T	5.50	3.50	19.25	2.58	5.00	11	15
R3	B	SAM285	T	7.20	4.40	31.68	4.35	7.30	8	11
R3	B	SAM287	T	4.10	2.30	9.43	4.98	4.00	9	17
R4	B	SAM034	T	4.50	2.00	9.00	2.75	2.50	13	22
R4	B	SAM063	S	6.00	2.50	15.00	5.08	3.70	8	15
R4	B	SAM088	S	8.30	5.00	41.50	4.84	3.00	7	11
R4	B	SAM163	S	6.00	4.00	24.00	5.63	4.50	11	17
R4	B	SAM259	T	4.20	2.00	8.40	4.78	4.00	7	9
R4	B	SAM264	T	4.50	2.40	10.80	3.88	3.20	14	18
R4	B	SAM269	T	7.00	5.00	35.00	4.30	3.50	9	11
R5	B	SAM063	S	9.00	6.00	54.00	6.14	7.50	4	11
R5	B	SAM088	S	9.00	7.00	63.00	3.95	9.20	4	11
R5	B	SAM139	S	6.00	4.00	24.00	4.29	4.00	10	14
R5	B	SAM259	T	4.30	2.40	10.32	4.11	4.50	7	14
R5	B	SAM264	T	6.00	4.00	24.00	3.93	6.00	7	11
R5	B	SAM269	T	7.20	5.40	38.88	5.28	8.00	7	14
