Replication	Treatment	SAM	Days_to_full_wilt
R1	B	SAM034	16
R1	B	SAM041	19
R1	B	SAM051	11
R1	B	SAM063	10
R1	B	SAM075	10
R1	B	SAM083	15
R1	B	SAM088	14
R1	B	SAM139	14
R1	B	SAM145	
R1	B	SAM163	15
R1	B	SAM172	14
R1	B	SAM254	
R1	B	SAM259	11
R1	B	SAM264	
R1	B	SAM269	11
R1	B	SAM285	9
R1	B	SAM287	
R2	B	SAM034	15
R2	B	SAM041	19
R2	B	SAM051	
R2	B	SAM063	11
R2	B	SAM075	10
R2	B	SAM083	19
R2	B	SAM088	10
R2	B	SAM139	14
R2	B	SAM145	11
R2	B	SAM163	14
R2	B	SAM254	14
R2	B	SAM259	15
R2	B	SAM264	
R2	B	SAM269	18
R2	B	SAM281	
R2	B	SAM285	
R2	B	SAM287	20
R3	B	SAM034	14
R3	B	SAM041	
R3	B	SAM051	15
R3	B	SAM063	14
R3	B	SAM075	
R3	B	SAM083	
R3	B	SAM088	9
R3	B	SAM139	15
R3	B	SAM145	16
R3	B	SAM163	15
R3	B	SAM172	9
R3	B	SAM254	11
R3	B	SAM259	11
R3	B	SAM269	15
R3	B	SAM285	11
R3	B	SAM287	17
R4	B	SAM034	22
R4	B	SAM063	15
R4	B	SAM088	11
R4	B	SAM163	17
R4	B	SAM259	9
R4	B	SAM264	18
R4	B	SAM269	11
R5	B	SAM041	
R5	B	SAM063	11
R5	B	SAM088	11
R5	B	SAM139	14
R5	B	SAM163	
R5	B	SAM259	14
R5	B	SAM264	11
R5	B	SAM269	14
